ParticipantId,Angular Error 3,Angular Error 4,Angular Error 5,Angular Error 6,Angular Error 7,Angular Error 8,Angular Error 9,Angular Error 10,Angular Error 11,Angular Error 12,Angular Error 13,Angular Error 14,Angular Error 15,Angular Error 16,Angular Error 17,Angular Error 18,Angular Error 19,Angular Error 20,Angular Error 21,Angular Error 22,Efficiency 3,Efficiency 4,Efficiency 5,Efficiency 6,Efficiency 7,Efficiency 8,Efficiency 9,Efficiency 10,Efficiency 11,Efficiency 12,Efficiency 13,Efficiency 14,Efficiency 15,Efficiency 16,Efficiency 17,Efficiency 18,Efficiency 19,Efficiency 20,Efficiency 21,Efficiency 22
EM21TA,45.94999999999999,52.44979999999999,87.20001,28.599999999999994,104.99987999999999,12.149999999999995,14.000099999999959,104.6001,29.800000000000015,111.40000000000002,52.90000000000002,22.749999999999986,173.5001000000001,117.44990000000001,17.700000000000017,72.10001000000001,50.45001000000001,61.45002000000004,37.40000000000001,90.05000000000003,0.43478260869565216,0.48,1.0,0.875,0.47368421052631576,1,1.0,0.47368421052631576,0.85,0.25925925925925924,0.2413793103448276,0.8461538461538461,0.1111111111111111,0.5714285714285714,0.6111111111111112,0.5,0.6956521739130435,0.5,1,0.7777777777777778
JO25TA,17.150000000000013,16.650099999999988,14.100000000000033,3.0500499999998882,3.250000000000038,25.799999999999986,8.150000000000054,11.999999999999988,29.649999999999995,100.50010000000002,0.09999999999655489,179.30002000000053,30.55001299999999,1.2499599999998572,2.9500400000000053,20.100000000000005,96.84989999999996,1.8500099999999937,9.599999999999982,10.999999999999993,1.0,0.9333333333333333,0.1111111111111111,0.6363636363636364,0.7777777777777778,0.9444444444444444,0.7857142857142857,1.0,1.0,0.8461538461538461,0.42857142857142855,0.7692307692307693,0.9,1.0,0.6153846153846154,1,0.6153846153846154,0.7272727272727273,0.6470588235294118,1.0
GR25BE,38.64980000000001,84.59998,57.45003000000002,59.00007750031001,33.75004000000002,90.99997999999998,178.30000000000035,21.749900000000054,97.34989999999999,36.05,64.00005,32.899899999999995,9.89999999999998,17.750001999999995,6.400000000000004,48.59989999999999,129.90000000000003,63.65000000000001,96.64999999999999,84.75000000000001,0.06666666666666667,0.47368421052631576,0.4375,0.42857142857142855,0.3333333333333333,0.8095238095238095,1.0,0.8,0.4782608695652174,0.2962962962962963,0.7777777777777778,0.4444444444444444,0.4782608695652174,0.3076923076923077,1.0,0.3333333333333333,1.0,0.8,0.48,0.41379310344827586
AV16ME,26.54989999999999,74.75008000000003,67.14979999999997,157.15030000000002,66.9999,60.400000000000006,11.70000000000001,20.70004,40.89989,31.649999999999984,146.3999,19.999999999999993,71.1,25.899999999999977,29.399999999999945,90.69990000000001,50.60000000000005,76.29999999999998,49.30009999999997,44.04993000000001,0.5,0.7333333333333333,0.4583333333333333,0.5925925925925926,0.6363636363636364,0.26666666666666666,0.42857142857142855,0.38095238095238093,0.7857142857142857,0.05555555555555555,0.45161290322580644,0.4,0.3125,0.34782608695652173,0.7333333333333333,1,0.3684210526315789,0.2413793103448276,0.3870967741935484,0.7727272727272727
ch12cr,84.29979999999999,4.699999999999923,30.050080000000005,75.40010000000004,6.000000000000026,18.150000000000002,71.44993000000004,20.949999999999992,16.299999999999994,40.70009999999999,35.54995000000001,63.19999999999999,77.34999999999997,69.6,7.749899999999976,71.05000999999999,44.650000000000006,4.099899999999923,120.55010000000001,20.250030999999996,0.28,0.7777777777777778,0.8,1.0,0.5384615384615384,0.391304347826087,0.68,0.2857142857142857,0.3793103448275862,0.7142857142857143,0.2857142857142857,0.3,0.7777777777777778,0.42857142857142855,0.2,0.4444444444444444,0.7333333333333333,0.7857142857142857,0.2857142857142857,1.0
MA21SA,6.250000000000041,69.89999999999998,34.80006000000002,30.750100000000003,16.70010000000001,33.15004000000002,70.2499,35.250000000000014,50.74999999999997,61.300200000000004,2.7999999999999416,45.39999999999999,58.899999999999984,45.60003,70.0,22.899990000000013,10.100000000000012,67.85000000000002,13.199999999999994,11.949899999999962,1.0,0.5,1,0.5925925925925926,0.43478260869565216,0.3076923076923077,0.5294117647058824,0.3793103448275862,0.26666666666666666,0.7777777777777778,1,0.36,0.7777777777777778,1,0.9166666666666666,0.7391304347826086,0.07692307692307693,1.0,0.2413793103448276,0.6153846153846154
VA25JI,24.300288000000016,54.2503,54.65019000000003,98.34990000000002,5.849999999999994,8.500000000000002,7.599900000000002,10.550039999999937,45.449999999999996,10.04999999999997,17.10009999999999,27.95009000000001,23.950020000000002,9.550000000000043,0.34999999999958503,43.150000000000006,6.449900000000034,11.749899999999977,2.399899999999864,6.800109999999961,0.5714285714285714,0.6,0.7777777777777778,1.0,0.2,0.5238095238095238,1,0.875,0.8,0.7777777777777778,1.0,1.0,1,1,1,0.6923076923076923,0.47058823529411764,1,0.7777777777777778,0.8095238095238095
KA15AN,3.6000999999999737,48.100060000000035,4.2500400000000464,14.199999999999978,9.399999999999979,60.90000000000003,9.600199999999992,100.0002,43.20019999999998,15.750000000000025,59.80000000000002,31.19999999999993,40.25001000000001,46.199999999999996,75.55,89.99999999999999,23.3001,42.50000000000001,56.30000000000002,36.950099999999985,0.06666666666666667,0.6363636363636364,0.7857142857142857,0.3235294117647059,0.24242424242424243,0.5384615384615384,1.0,0.42857142857142855,0.5714285714285714,0.47058823529411764,0.47058823529411764,0.5714285714285714,0.7777777777777778,1.0,0.8461538461538461,1,0.75,1.0,0.8947368421052632,0.6
TE03ZA,28.149980000000003,47.19999999999996,0.9499999999994817,22.850000000000016,34.55001999999999,106.15,166.94999999999996,54.94999999999999,57.850000000000016,40.449999999999996,80.05000000000001,119.25001,44.900000000000006,99.85002,67.9,34.449999999999996,101.65,71.60001000000003,28.89998,81.95000000000002,0.3870967741935484,0.09090909090909091,0.30303030303030304,0.4,0.25806451612903225,0.875,0.2727272727272727,0.25,0.3,0.23529411764705882,1.0,0.5238095238095238,0.7391304347826086,0.3793103448275862,0.5,0.5714285714285714,0.3548387096774194,0.7777777777777778,0.7777777777777778,1.0
LU25MA,87.09989999999999,4.149879999999945,18.350109999999983,79.65,3.4499999999999513,21.749999999999982,46.8498,179.4500499999998,162.09998,103.60000000000005,34.69999999999997,10.04999999999997,83.45003,7.649999999999931,170.70000000000005,7.850000000000056,5.1499999999998805,48.75009999999998,53.50000000000001,37.55011000000002,0.18181818181818182,0.875,0.1951219512195122,0.29411764705882354,0.4583333333333333,1,0.47058823529411764,0.7333333333333333,0.391304347826087,0.7,0.40476190476190477,0.7777777777777778,1.0,1.0,1,0.3103448275862069,0.8571428571428571,0.14285714285714285,0.6666666666666666,0.6666666666666666
MI23GO,61.299900000000015,19.199900000000024,83.34990000000002,152.25002000000003,44.70016000000002,124.19999999999999,51.05010000000002,14.899900000000033,25.699969999999986,101.7,10.049999999999933,6.750000000000002,25.400030000000022,76.44999999999997,2.700000000000084,8.000000296698302e-05,85.85000000000004,14.950099999999999,75.64999999999999,102.64995999999998,1.0,1,0.875,0.8461538461538461,1.0,1.0,0.5714285714285714,0.9166666666666666,1,0.3684210526315789,0.09090909090909091,0.38461538461538464,1.0,0.7777777777777778,0.36,0.4,0.47368421052631576,0.8888888888888888,1.0,0.7333333333333333
BI05IL,7.2498999999999825,28.550000000000008,0.7999000000000102,83.24999999999999,22.500000000000004,0.9499999999998654,3.1999999999999753,20.600100000000023,13.799999999999995,56.14995999999999,6.299999999999991,40.85010000000001,15.800000000000038,1.1999899999997665,6.049950000000029,27.950050000000022,1.35003999999981,11.199999999999946,4.6000199999999865,13.450069999999975,1.0,0.875,1,0.47368421052631576,1.0,0.7777777777777778,0.8,1,0.9090909090909091,0.1111111111111111,0.7777777777777778,1.0,0.6923076923076923,1.0,1.0,0.8,1.0,0.8,1.0,1.0
AB04KO,10.6001,6.000000000000026,28.30000000000001,152.80006000000003,77.95010000000005,102.24992,3.0998999999999377,60.599899999999984,25.699999999999974,109.69981,171.4499,17.900000000000006,99.90000000000002,42.04989999999999,57.74989999999998,26.3501,113.45009999999999,89.99999999999999,54.75012000000003,73.4499,0.4117647058823529,0.4,0.4444444444444444,0.3333333333333333,0.42857142857142855,0.8947368421052632,0.4444444444444444,0.36363636363636365,0.35714285714285715,0.48,0.9166666666666666,0.875,0.6363636363636364,1.0,0.7333333333333333,1,0.3103448275862069,0.09090909090909091,0.39285714285714285,0.6666666666666666
BR21FR,9.350249999999999,12.149999999999965,35.49999999999998,64.39999999999999,7.749999999999962,15.250000000000012,24.999999999999975,4.099910000000005,24.399999999999967,7.4999999999999645,35.699999999999996,42.49990000000001,14.0,11.650100000000005,3.7999000000000027,21.100000000000005,3.7500999999999443,56.39997999999999,51.199878,24.050030000000017,1.0,1,0.8461538461538461,1,0.6666666666666666,0.8333333333333334,0.6923076923076923,0.875,0.875,1,0.1111111111111111,1,0.875,0.9444444444444444,0.5,1.0,1,0.5217391304347826,1,1.0
TE25EL,10.699999999999964,2.2499999999998876,4.149999999999904,25.450010000000024,13.700000000000031,53.15,106.4499,8.099999999999968,1.0999000000000916,12.100000000000016,15.199999999999987,20.84994999999999,4.349950000000002,3.5499699999999303,1.049959999999821,1.9500000000001463,2.4500500000000223,5.599999999999998,2.700010000000035,12.500000000000002,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,0.2,1.0,0.7777777777777778,1.0,1.0,1.0,1.0
SO12RI,32.09999999999999,13.550099999999984,80.94999999999997,16.15,67.95002000000004,44.05000000000001,12.949999999999987,75.99989999999997,64.84999999999998,68.00009999999999,49.49999,23.949999999999992,10.899999999999972,23.99999999999999,76.35,133.14999999999995,54.90000000000002,71.20004,111.90000000000002,70.35000000000001,0.5714285714285714,0.7083333333333334,0.42857142857142855,0.47058823529411764,1,0.20588235294117646,0.7777777777777778,0.38461538461538464,0.47368421052631576,0.3076923076923077,0.8461538461538461,0.7777777777777778,0.7333333333333333,0.6956521739130435,0.75,0.5789473684210527,0.045454545454545456,1.0,0.7777777777777778,0.36363636363636365
AL15MA,69.2498,70.44999999999999,133.20005,0.4999000000001298,111.89999999999999,53.049800000000026,100.69990000000003,48.95003000000003,75.30000000000003,36.0499,100.69999999999999,9.650000000000038,57.300099999999986,139.35009999999997,13.049899999999973,47.600030000000004,96.75009999999999,53.65010000000001,26.649999999999974,162.74994,0.3333333333333333,0.2,0.21875,1,0.7777777777777778,0.3076923076923077,1.0,0.5714285714285714,0.8461538461538461,0.32,0.27586206896551724,0.3333333333333333,0.4444444444444444,0.32142857142857145,0.5714285714285714,0.5862068965517241,1.0,0.4827586206896552,0.5833333333333334,0.8
IS04LI,78.99979999999996,109.79993999999999,56.999999999999986,80.35009,9.649900000000041,165.10000000000002,11.54999999999996,0.49999999999986244,115.09988,64.85009999999998,44.05000000000001,56.599997,28.999999999999982,50.14999999999998,114.80000000000001,9.250079999999992,108.44980000000001,41.70010000000001,64.15000000000003,109.29987,0.8461538461538461,0.42857142857142855,0.35294117647058826,0.7391304347826086,0.25925925925925924,0.42857142857142855,0.14285714285714285,0.36666666666666664,0.7058823529411765,0.9090909090909091,0.7333333333333333,0.4,0.8,0.30434782608695654,1.0,0.47058823529411764,0.875,0.4444444444444444,0.4827586206896552,0.6666666666666666
BR22FA,2.900009999999963,45.09996999999999,2.9501000000001625,8.599979999999988,6.349999999999974,16.35000000000001,12.850000000000046,54.29989999999999,5.000099999999977,6.100000000000044,5.450030000000024,10.899999999999972,65.04990000000001,14.65026800000003,13.749999999999975,15.449952999999999,14.400100000000005,21.450099999999978,8.049999999999995,10.599939999999977,0.6666666666666666,1.0,1,1.0,1,1.0,0.8181818181818182,1.0,0.3333333333333333,0.6666666666666666,0.6923076923076923,1.0,0.7777777777777778,0.7692307692307693,1.0,0.85,1.0,1,1,0.1111111111111111
SA10YA,35.500099999999954,37.700050000000005,16.525070000000003,4.150199999999943,81.07498000000001,61.849899999999984,23.149799999999967,5.824999999999929,28.599999999999994,55.800000000000004,15.974899999999987,19.950000000000024,20.800000000000022,47.174899999999994,2.300029999999982,11.699999999999946,41.39989999999998,4.174999999999917,19.324999999999996,62.8499,0.4375,0.1111111111111111,0.47058823529411764,1.0,0.8461538461538461,1,0.35,0.5,0.6923076923076923,0.85,0.7777777777777778,1.0,0.8461538461538461,0.6,0.7058823529411765,0.8421052631578947,1.0,0.47368421052631576,0.6666666666666666,0.7777777777777778
KE17FI,11.299899999999989,24.6,17.29999999999997,3.499909999999916,22.15009999999999,13.249919999999973,8.80010000000002,29.85000000000004,31.54996999999999,31.34999000000002,6.149999999999969,13.250020000000017,8.250040000000016,1.600039999999978,2.8500999999999954,0.19999999999981224,4.850000000000002,6.350100000000033,19.950099999999992,11.850000000000055,0.5384615384615384,0.8461538461538461,0.09090909090909091,1.0,0.9,1.0,1.0,0.7777777777777778,1.0,0.6666666666666666,1,1.0,1,0.6666666666666666,1,1.0,1.0,1,1,1.0
YI11LI,8.449900000000023,156.35004000000004,50.899899999999995,18.7,11.29999999999994,61.55001000000003,18.800010999999984,128.00007200000002,65.49999999999997,48.15,4.7999999999999785,10.350000000000055,69.0499,70.50009999999997,49.4,61.999999999999986,17.80006999999997,66.19997999999998,16.35000000000001,22.599999999999984,1.0,0.7777777777777778,0.4,0.8333333333333334,1,0.8095238095238095,0.8,1.0,0.3103448275862069,1.0,0.47368421052631576,0.9166666666666666,0.7333333333333333,0.09090909090909091,0.5789473684210527,1.0,0.3333333333333333,0.19444444444444445,0.6,0.2857142857142857
XI31SH,12.349899999999943,36.19992,22.750100000000014,4.699899999999943,22.899999999999977,21.95000000000001,6.600000000000043,14.600100000000015,49.00002000000001,17.749900000000007,32.94999999999998,7.4500099999999945,9.749999999999993,19.849900000000012,50.150000000000006,6.199999999999944,49.00001999999999,3.6999999999999678,15.050099999999974,19.049982000000004,0.05555555555555555,1.0,1.0,1.0,0.875,1.0,0.37037037037037035,1.0,0.9166666666666666,0.6923076923076923,1,0.47368421052631576,0.8,0.875,1,0.5714285714285714,0.7777777777777778,0.8888888888888888,0.6470588235294118,0.6071428571428571
TA21CA,60.799899999999994,56.45004000000001,55.8001,66.44999999999999,75.19999999999997,67.85019999999999,97.74990000000001,106.55000000000003,5.149899999999957,11.050200000000052,84.0,17.100000000000065,0.9498000000002148,48.70000000000003,23.29989999999998,77.99999999999999,65.94999000000003,55.550000000000004,38.25000000000002,31.94994000000001,0.7142857142857143,0.5,0.36363636363636365,0.5,0.4,0.39285714285714285,0.6296296296296297,0.5789473684210527,0.2413793103448276,0.47368421052631576,0.5789473684210527,0.7777777777777778,0.47368421052631576,0.047619047619047616,0.44,0.42857142857142855,0.6956521739130435,0.6153846153846154,0.6363636363636364,1.0
